dnid,dnname,dnlatitude,dnlongitude,dnradius
4792036024,경상북도 봉화군 재산면 갈산리,36.8457054,129.0242776,7.569
4792036025,경상북도 봉화군 재산면 상리,36.84253736,128.9444767,2.801
4792037000,경상북도 봉화군 명호면,36.8392181,128.8881577,8.198
4792037021,경상북도 봉화군 명호면 도천리,36.87442111,128.8887404,3.413
4792037022,경상북도 봉화군 명호면 삼동리,36.87319224,128.9312664,2.98
4792037023,경상북도 봉화군 명호면 양곡리,36.87807985,128.8461164,2.074
4792037024,경상북도 봉화군 명호면 고감리,36.85611816,128.8395412,2.3
4792037025,경상북도 봉화군 명호면 풍호리,36.84634541,128.8751678,2.723
4792037026,경상북도 봉화군 명호면 고계리,36.83533733,128.910956,2.767
4792037027,경상북도 봉화군 명호면 북곡리,36.79735817,128.9147556,3.411
4792037028,경상북도 봉화군 명호면 관창리,36.81261856,128.864985,4.818
4792038000,경상북도 봉화군 상운면,36.83477994,128.7749886,6.409
4792038021,경상북도 봉화군 상운면 가곡리,36.84792787,128.7516015,2.434
4792038022,경상북도 봉화군 상운면 운계리,36.83931235,128.7691113,2.955
4792038023,경상북도 봉화군 상운면 문촌리,36.8395324,128.8009616,2.672
4792038024,경상북도 봉화군 상운면 하눌리,36.87322965,128.7740756,2.154
4792038025,경상북도 봉화군 상운면 토일리,36.81710701,128.7778888,1.984
4792038026,경상북도 봉화군 상운면 구천리,36.80948298,128.7413159,2.51
4792038027,경상북도 봉화군 상운면 설매리,36.82670917,128.732697,1.652
4792038028,경상북도 봉화군 상운면 신라리,36.81480886,128.8214668,2.092
4792039000,경상북도 봉화군 석포면,37.05068229,129.0568409,12.305
4792039021,경상북도 봉화군 석포면 석포리,37.05352953,129.1009801,7.681
4792039022,경상북도 봉화군 석포면 대현리,37.06077062,128.9797434,6.306
4792039023,경상북도 봉화군 석포면 승부리,37.01298272,129.0710516,3.294
4793025000,경상북도 울진군 울진읍,37.00104866,129.3460464,7.136
4793025021,경상북도 울진군 울진읍 읍내리,36.99214989,129.3994296,1.251
4793025022,경상북도 울진군 울진읍 읍남리,36.98542686,129.3775098,3.365
4793025023,경상북도 울진군 울진읍 연지리,37.00057438,129.4103529,1.344
4793025024,경상북도 울진군 울진읍 온양리,37.01982282,129.4046882,1.492
4793025025,경상북도 울진군 울진읍 명도리,37.02919887,129.3821355,2.724
4793025026,경상북도 울진군 울진읍 고성리,37.00248308,129.3816644,2.005
4793025027,경상북도 울진군 울진읍 정림리,37.02992936,129.3381751,3.187
4793025028,경상북도 울진군 울진읍 신림리,37.00441772,129.3294135,3.373
4793025029,경상북도 울진군 울진읍 대흥리,36.97687968,129.3044859,3.191
4793025030,경상북도 울진군 울진읍 호월리,37.01758428,129.3674092,2.28
4793025300,경상북도 울진군 평해읍,36.72984859,129.4367712,5.238
4793025321,경상북도 울진군 평해읍 평해리,36.72879565,129.4410252,1.521
4793025322,경상북도 울진군 평해읍 학곡리,36.71068141,129.4346065,2.056
4793025323,경상북도 울진군 평해읍 삼달리,36.73445268,129.4131871,2.581
4793025324,경상북도 울진군 평해읍 오곡리,36.74817959,129.4200882,3.284
4793025325,경상북도 울진군 평해읍 월송리,36.73941921,129.4603239,1.586
4793025326,경상북도 울진군 평해읍 직산리,36.72247743,129.4637732,1.507
4793025327,경상북도 울진군 평해읍 거일리,36.70553013,129.4630855,2.005
4793031000,경상북도 울진군 북면,37.07430148,129.3082635,9.377
4793031021,경상북도 울진군 북면 부구리,37.10354734,129.3457021,3.616
4793031022,경상북도 울진군 북면 나곡리,37.12668225,129.3590531,2.546
4793031023,경상북도 울진군 북면 검성리,37.12747875,129.3246764,2.707
4793031024,경상북도 울진군 북면 주인리,37.0975698,129.306691,4.401
4793031025,경상북도 울진군 북면 덕구리,37.07937192,129.2740473,4.668
4793031026,경상북도 울진군 북면 상당리,37.05705523,129.2709782,3.626
4793031027,경상북도 울진군 북면 두천리,37.02369702,129.274086,3.558
4793031028,경상북도 울진군 북면 하당리,37.04412283,129.3136755,2.226
4793031029,경상북도 울진군 북면 사계리,37.05162988,129.334127,2.385
4793031030,경상북도 울진군 북면 소곡리,37.06459609,129.3441389,2.027
4793031031,경상북도 울진군 북면 고목리,37.07246176,129.3757306,1.889
4793031032,경상북도 울진군 북면 신화리,37.08198599,129.3635367,1.415
4793031033,경상북도 울진군 북면 덕천리,37.08412271,129.3886215,1.44
4812110700,경상남도 창원시 의창구 소계동,35.2642237,128.5954726,1.506
4812110800,경상남도 창원시 의창구 용동,35.24155476,128.7079847,1.61
4885032023,경상남도 하동군 악양면 신대리,35.14002766,127.7235253,1.921
4885032024,경상남도 하동군 악양면 신성리,35.15190613,127.7255832,1.816
4885032025,경상남도 하동군 악양면 신흥리,35.16446753,127.7307568,1.659
4885032026,경상남도 하동군 악양면 중대리,35.1866186,127.7309498,2.283
4885032027,경상남도 하동군 악양면 동매리,35.19349051,127.7097825,2.269
4885032028,경상남도 하동군 악양면 등촌리,35.20757871,127.7093659,2.266
4885032029,경상남도 하동군 악양면 매계리,35.18513889,127.6992747,1.875
4885032030,경상남도 하동군 악양면 정동리,35.17065361,127.7206319,1.39
4885032031,경상남도 하동군 악양면 정서리,35.17254307,127.6977711,2.018
4885032032,경상남도 하동군 악양면 입석리,35.16341479,127.693006,1.799
4885032033,경상남도 하동군 악양면 봉대리,35.15256482,127.6924215,1.788
4885032034,경상남도 하동군 악양면 평사리,35.14872622,127.6839487,1.895
4885033000,경상남도 하동군 적량면,35.10544699,127.7660512,6.907
4885033021,경상남도 하동군 적량면 관리,35.08537683,127.7650023,1.392
